instance_folder,instance_id,method,time_limit_pi,time_limit_cp_stnu,obj,obj_pi,rel_regret,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo50,1,STNU,60,60,inf,inf,0,False,False,"[0, 2, 1, 3, 6, 2, 3, 4, 3, 2, 2, 7, 3, 7, 5, 1, 3, 11, 5, 8, 8, 1, 6, 8, 2, 4, 2, 6, 5, 5, 1, 6, 4, 2, 1, 4, 2, 1, 7, 2, 2, 1, 5, 3, 4, 6, 1, 2, 6, 4, 7, 0]",,0.051418304443359375,0
ubo50,2,STNU,60,60,inf,inf,0,False,False,"[0, 1, 1, 1, 1, 3, 1, 7, 9, 4, 2, 2, 7, 5, 1, 6, 6, 2, 8, 8, 2, 1, 1, 3, 7, 5, 3, 2, 7, 5, 3, 9, 1, 1, 2, 5, 4, 4, 1, 3, 9, 1, 5, 5, 5, 2, 3, 2, 5, 6, 6, 0]",,0.05396103858947754,0
ubo50,3,STNU,60,60,inf,169.0,100,False,True,"[0, 6, 6, 8, 2, 2, 6, 11, 6, 8, 1, 9, 5, 1, 6, 9, 6, 6, 9, 1, 4, 4, 10, 5, 2, 2, 3, 8, 9, 2, 4, 10, 4, 9, 2, 1, 1, 9, 7, 8, 7, 2, 4, 6, 3, 4, 4, 1, 4, 4, 1, 0]",,61.337440967559814,0
ubo50,4,STNU,60,60,inf,179.0,100,False,True,"[0, 11, 6, 4, 1, 1, 2, 6, 7, 3, 1, 2, 2, 5, 4, 5, 4, 3, 5, 7, 7, 3, 3, 12, 7, 1, 1, 1, 1, 9, 4, 9, 2, 6, 9, 4, 8, 9, 11, 1, 5, 1, 2, 2, 8, 6, 1, 7, 3, 1, 11, 0]",,60.943264961242676,0
ubo50,5,STNU,60,60,inf,inf,0,False,False,"[0, 5, 7, 3, 8, 1, 10, 4, 3, 1, 11, 2, 5, 2, 4, 7, 7, 2, 6, 1, 4, 2, 9, 5, 5, 10, 4, 4, 2, 11, 1, 3, 1, 10, 3, 8, 6, 6, 1, 9, 2, 1, 1, 7, 1, 1, 6, 9, 6, 6, 5, 0]",,60.040512561798096,0
ubo50,6,STNU,60,60,inf,194.0,100,False,True,"[0, 5, 8, 7, 8, 1, 6, 11, 3, 10, 8, 7, 1, 7, 6, 8, 5, 1, 9, 3, 1, 5, 2, 3, 6, 1, 7, 6, 1, 1, 7, 7, 1, 2, 10, 8, 4, 9, 5, 10, 7, 4, 2, 6, 1, 1, 6, 6, 8, 2, 1, 0]",,2.9134130477905273,0
ubo50,7,STNU,60,60,inf,157.0,100,False,True,"[0, 2, 6, 2, 2, 5, 1, 5, 2, 4, 9, 10, 11, 9, 8, 6, 3, 2, 6, 6, 9, 6, 7, 4, 11, 1, 6, 8, 1, 4, 9, 1, 1, 6, 1, 5, 3, 10, 11, 9, 1, 5, 1, 6, 1, 6, 2, 2, 3, 6, 8, 0]",,0.053379058837890625,0
ubo50,8,STNU,60,60,inf,inf,0,False,False,"[0, 1, 5, 2, 5, 9, 3, 5, 8, 3, 8, 3, 5, 3, 1, 2, 3, 6, 4, 1, 8, 1, 6, 2, 6, 3, 1, 8, 12, 1, 7, 1, 1, 10, 3, 8, 1, 2, 2, 3, 2, 6, 2, 8, 8, 5, 1, 3, 5, 7, 6, 0]",,60.04746770858765,0
ubo50,9,STNU,60,60,inf,174.0,100,False,True,"[0, 6, 2, 4, 2, 5, 7, 3, 8, 1, 2, 2, 1, 7, 9, 2, 3, 7, 5, 6, 1, 3, 2, 1, 2, 4, 6, 10, 2, 1, 8, 3, 6, 5, 3, 6, 6, 1, 6, 1, 5, 1, 7, 1, 1, 11, 8, 6, 10, 3, 7, 0]",,22.624948978424072,0
ubo50,10,STNU,60,60,inf,164.0,100,False,True,"[0, 2, 6, 1, 2, 3, 10, 2, 8, 9, 8, 4, 9, 6, 3, 1, 6, 7, 1, 1, 2, 1, 2, 1, 10, 7, 1, 6, 3, 4, 12, 2, 1, 1, 1, 5, 8, 5, 4, 1, 2, 3, 6, 2, 6, 4, 5, 6, 10, 1, 7, 0]",,60.97368907928467,0
ubo100,1,STNU,60,60,inf,inf,0,False,False,"[0, 4, 8, 6, 6, 9, 7, 2, 4, 11, 3, 6, 4, 1, 4, 2, 12, 7, 5, 4, 5, 6, 1, 11, 8, 9, 4, 2, 4, 2, 1, 6, 7, 8, 9, 9, 7, 1, 6, 1, 1, 10, 6, 6, 7, 1, 5, 1, 1, 4, 8, 8, 1, 9, 2, 1, 1, 5, 9, 9, 6, 7, 6, 1, 1, 4, 4, 5, 6, 11, 2, 10, 10, 2, 7, 7, 1, 8, 4, 1, 5, 4, 2, 3, 7, 12, 5, 5, 1, 5, 6, 5, 4, 7, 9, 8, 5, 1, 3, 2, 2, 0]",,0.0709989070892334,0
ubo100,2,STNU,60,60,inf,inf,0,False,False,"[0, 8, 4, 6, 1, 8, 1, 1, 4, 3, 5, 8, 2, 6, 5, 5, 11, 5, 8, 11, 6, 2, 10, 4, 9, 1, 3, 1, 5, 9, 1, 6, 1, 6, 1, 5, 9, 6, 8, 1, 6, 3, 4, 4, 2, 7, 6, 4, 1, 1, 7, 2, 1, 3, 6, 10, 7, 5, 3, 9, 3, 3, 3, 9, 8, 1, 1, 6, 9, 6, 2, 2, 2, 9, 2, 6, 8, 5, 1, 3, 7, 6, 7, 1, 8, 4, 1, 5, 1, 2, 1, 6, 7, 8, 3, 2, 2, 3, 6, 10, 8, 0]",,0.06765222549438477,0
ubo100,3,STNU,60,60,inf,inf,0,False,False,"[0, 1, 8, 1, 6, 3, 4, 11, 12, 3, 1, 2, 8, 5, 3, 1, 4, 1, 2, 1, 7, 5, 7, 9, 1, 10, 2, 5, 6, 2, 7, 3, 1, 6, 1, 6, 9, 2, 1, 4, 3, 5, 8, 1, 2, 2, 5, 1, 7, 3, 2, 1, 1, 11, 3, 10, 2, 6, 1, 1, 2, 11, 6, 7, 10, 5, 1, 7, 9, 6, 4, 8, 4, 6, 5, 7, 2, 1, 3, 9, 10, 1, 2, 3, 1, 2, 3, 6, 1, 2, 1, 6, 1, 9, 6, 10, 12, 1, 5, 4, 1, 0]",,0.06751894950866699,0
