instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations
j30,2,inf,reactive_mean,2,30,1,False,"[0, 8, 6, 5, 3, 6, 5, 6, 7, 7, 8, 6, 4, 1, 1, 5, 6, 1, 9, 9, 4, 2, 5, 5, 4, 1, 7, 1, 5, 6, 1, 0]",,,inf,inf,mean,"[0, 7, 10, 5, 4, 7, 4, 9, 6, 10, 9, 7, 6, 2, 2, 7, 6, 1, 8, 9, 6, 2, 8, 8, 5, 1, 8, 1, 7, 6, 3, 0]"
j30,2,inf,reactive_mean,2,30,1,False,"[0, 6, 10, 3, 5, 5, 2, 8, 7, 10, 6, 8, 4, 1, 1, 5, 3, 1, 7, 9, 4, 1, 9, 9, 4, 1, 7, 1, 4, 4, 3, 0]",,,inf,inf,mean,"[0, 7, 10, 5, 4, 7, 4, 9, 6, 10, 9, 7, 6, 2, 2, 7, 6, 1, 8, 9, 6, 2, 8, 8, 5, 1, 8, 1, 7, 6, 3, 0]"
j30,2,inf,reactive_mean,2,30,1,False,"[0, 6, 6, 3, 4, 8, 4, 6, 4, 8, 7, 8, 5, 1, 2, 4, 4, 1, 5, 7, 6, 2, 6, 9, 6, 1, 8, 1, 4, 6, 1, 0]",,,inf,inf,mean,"[0, 7, 10, 5, 4, 7, 4, 9, 6, 10, 9, 7, 6, 2, 2, 7, 6, 1, 8, 9, 6, 2, 8, 8, 5, 1, 8, 1, 7, 6, 3, 0]"
j30,2,inf,reactive_mean,2,30,1,False,"[0, 7, 6, 2, 3, 8, 5, 8, 7, 12, 8, 4, 6, 1, 1, 8, 5, 1, 6, 6, 7, 2, 5, 6, 4, 1, 9, 1, 8, 6, 3, 0]",,,inf,inf,mean,"[0, 7, 10, 5, 4, 7, 4, 9, 6, 10, 9, 7, 6, 2, 2, 7, 6, 1, 8, 9, 6, 2, 8, 8, 5, 1, 8, 1, 7, 6, 3, 0]"
j30,4,inf,reactive_mean,2,30,1,False,"[0, 11, 7, 2, 6, 1, 5, 4, 5, 3, 2, 2, 4, 10, 11, 10, 3, 8, 8, 5, 10, 9, 7, 7, 8, 11, 4, 1, 1, 1, 5, 0]","[0, 0, 21, 9, 45, 77, 41, 13, 22, 40, 29, 9, 34, 34, 19, 30, 44, 44, 49, 53, 19, 78, 71, 87, 54, 62, 95, 61, 99, 71, 83, 101]",,inf,inf,mean,"[0, 11, 7, 4, 9, 1, 4, 6, 4, 4, 5, 4, 6, 10, 10, 9, 5, 10, 7, 6, 10, 9, 6, 8, 7, 9, 4, 1, 2, 3, 4, 0]"
j30,4,inf,reactive_mean,2,30,1,False,"[0, 7, 5, 5, 6, 1, 4, 4, 3, 5, 3, 3, 3, 10, 7, 6, 2, 11, 7, 5, 7, 6, 6, 6, 5, 9, 2, 1, 1, 2, 5, 0]","[0, 0, 21, 9, 45, 77, 41, 13, 22, 40, 29, 9, 34, 34, 19, 30, 44, 44, 49, 53, 19, 78, 71, 87, 54, 62, 95, 61, 99, 71, 83, 101]",,inf,inf,mean,"[0, 7, 7, 5, 9, 1, 4, 6, 3, 4, 5, 3, 6, 10, 10, 9, 5, 10, 7, 6, 10, 9, 6, 8, 7, 9, 4, 1, 2, 3, 4, 0]"
j30,4,inf,reactive_mean,2,30,1,False,"[0, 10, 6, 2, 6, 1, 3, 6, 3, 4, 2, 2, 4, 8, 8, 7, 2, 12, 5, 6, 12, 11, 7, 8, 5, 9, 4, 1, 1, 1, 4, 0]","[0, 0, 21, 9, 45, 77, 41, 13, 22, 40, 29, 9, 34, 34, 19, 30, 44, 44, 49, 53, 19, 78, 71, 87, 54, 62, 95, 61, 99, 71, 83, 101]",,inf,inf,mean,"[0, 10, 7, 4, 9, 1, 4, 6, 4, 4, 5, 4, 6, 10, 10, 9, 5, 10, 7, 6, 10, 9, 6, 8, 7, 9, 4, 1, 2, 3, 4, 0]"
j30,4,inf,reactive_mean,2,30,1,False,"[0, 8, 5, 5, 9, 1, 2, 5, 4, 4, 2, 2, 4, 7, 11, 9, 2, 6, 8, 5, 10, 9, 6, 5, 7, 10, 5, 1, 1, 3, 2, 0]","[0, 0, 21, 9, 45, 77, 41, 13, 22, 40, 29, 9, 34, 34, 19, 30, 44, 44, 49, 53, 19, 78, 71, 87, 54, 62, 95, 61, 99, 71, 83, 101]",,inf,inf,mean,"[0, 8, 7, 5, 9, 1, 4, 5, 4, 4, 5, 2, 6, 10, 11, 9, 5, 10, 7, 6, 10, 9, 6, 8, 7, 9, 4, 1, 2, 3, 4, 0]"
j30,4,inf,reactive_mean,2,30,1,False,"[0, 11, 8, 3, 6, 1, 2, 5, 2, 3, 4, 5, 7, 7, 7, 6, 4, 10, 8, 3, 10, 7, 7, 6, 4, 8, 5, 1, 2, 3, 2, 0]","[0, 0, 21, 9, 45, 77, 41, 13, 22, 40, 29, 9, 34, 34, 19, 30, 44, 44, 49, 53, 19, 78, 71, 87, 54, 62, 95, 61, 99, 71, 83, 101]",,inf,inf,mean,"[0, 11, 7, 4, 9, 1, 4, 6, 4, 4, 5, 4, 6, 10, 10, 9, 5, 10, 7, 6, 10, 9, 6, 8, 7, 9, 4, 1, 2, 3, 4, 0]"
j30,4,inf,reactive_mean,2,30,1,False,"[0, 10, 6, 4, 6, 1, 3, 5, 4, 4, 4, 5, 3, 12, 11, 7, 4, 10, 4, 4, 8, 7, 7, 7, 4, 11, 2, 1, 2, 2, 5, 0]","[0, 0, 21, 9, 45, 77, 41, 13, 22, 40, 29, 9, 34, 34, 19, 30, 44, 44, 49, 53, 19, 78, 71, 87, 54, 62, 95, 61, 99, 71, 83, 101]",,inf,inf,mean,"[0, 10, 7, 4, 9, 1, 4, 6, 4, 4, 5, 4, 6, 10, 10, 9, 5, 10, 7, 6, 10, 9, 6, 8, 7, 9, 4, 1, 2, 3, 4, 0]"
