instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,start_times,time_offline,time_online,mode
j30,2,inf,reactive,2,30,1,False,"[0, 8, 6, 5, 3, 6, 5, 6, 7, 7, 8, 6, 4, 1, 1, 5, 6, 1, 9, 9, 4, 2, 5, 5, 4, 1, 7, 1, 5, 6, 1, 0]",,0.054425954818725586,1.2874603271484375e-05,robust
j30,2,inf,reactive,2,30,1,False,"[0, 6, 10, 3, 5, 5, 2, 8, 7, 10, 6, 8, 4, 1, 1, 5, 3, 1, 7, 9, 4, 1, 9, 9, 4, 1, 7, 1, 4, 4, 3, 0]",,0.054437875747680664,1.3113021850585938e-05,robust
j30,2,inf,reactive,2,30,1,False,"[0, 6, 6, 3, 4, 8, 4, 6, 4, 8, 7, 8, 5, 1, 2, 4, 4, 1, 5, 7, 6, 2, 6, 9, 6, 1, 8, 1, 4, 6, 1, 0]",,0.05633807182312012,1.1920928955078125e-05,robust
j30,2,inf,reactive,2,30,1,False,"[0, 7, 6, 2, 3, 8, 5, 8, 7, 12, 8, 4, 6, 1, 1, 8, 5, 1, 6, 6, 7, 2, 5, 6, 4, 1, 9, 1, 8, 6, 3, 0]",,0.05467391014099121,1.71661376953125e-05,robust
j30,4,inf,reactive,2,30,1,False,"[0, 11, 7, 2, 6, 1, 5, 4, 5, 3, 2, 2, 4, 10, 11, 10, 3, 8, 8, 5, 10, 9, 7, 7, 8, 11, 4, 1, 1, 1, 5, 0]",,0.05260896682739258,1.71661376953125e-05,robust
j30,4,inf,reactive,2,30,1,False,"[0, 7, 5, 5, 6, 1, 4, 4, 3, 5, 3, 3, 3, 10, 7, 6, 2, 11, 7, 5, 7, 6, 6, 6, 5, 9, 2, 1, 1, 2, 5, 0]",,0.06472492218017578,1.3113021850585938e-05,robust
j30,4,inf,reactive,2,30,1,False,"[0, 10, 6, 2, 6, 1, 3, 6, 3, 4, 2, 2, 4, 8, 8, 7, 2, 12, 5, 6, 12, 11, 7, 8, 5, 9, 4, 1, 1, 1, 4, 0]",,0.05576300621032715,1.5020370483398438e-05,robust
j30,4,inf,reactive,2,30,1,False,"[0, 8, 5, 5, 9, 1, 2, 5, 4, 4, 2, 2, 4, 7, 11, 9, 2, 6, 8, 5, 10, 9, 6, 5, 7, 10, 5, 1, 1, 3, 2, 0]",,0.052845001220703125,1.1205673217773438e-05,robust
j30,4,inf,reactive,2,30,1,False,"[0, 11, 8, 3, 6, 1, 2, 5, 2, 3, 4, 5, 7, 7, 7, 6, 4, 10, 8, 3, 10, 7, 7, 6, 4, 8, 5, 1, 2, 3, 2, 0]",,0.05152583122253418,1.4066696166992188e-05,robust
j30,4,inf,reactive,2,30,1,False,"[0, 10, 6, 4, 6, 1, 3, 5, 4, 4, 4, 5, 3, 12, 11, 7, 4, 10, 4, 4, 8, 7, 7, 7, 4, 11, 2, 1, 2, 2, 5, 0]",,0.05520009994506836,1.4066696166992188e-05,robust
