Sequence,Fitness,Best_sequence,Best_fitness,Time
"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",1578,"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",1578,0.0001289844512939453
"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,"[2, 31, 3, 21, 27, 29, 22, 39, 19, 26, 32, 17, 30, 36, 33, 28, 4, 14, 10, 35, 23, 24, 34, 20, 18, 25, 6, 13, 7, 38, 1, 16, 0, 15, 5, 11, 9, 8, 12, 37]",1578,0.05176281929016113
"[26, 22, 18, 12, 21, 9, 31, 27, 37, 28, 29, 11, 2, 16, 5, 4, 6, 20, 24, 3, 13, 17, 1, 30, 0, 14, 35, 39, 7, 25, 33, 36, 15, 23, 10, 34, 32, 8, 38, 19]",1561,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.10119080543518066
"[38, 3, 22, 8, 27, 5, 35, 36, 11, 15, 14, 16, 33, 26, 6, 28, 21, 31, 30, 2, 29, 19, 37, 9, 1, 12, 0, 20, 34, 24, 25, 39, 17, 23, 10, 13, 32, 18, 4, 7]",1576,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.15197992324829102
"[26, 24, 27, 31, 1, 3, 16, 29, 34, 8, 12, 4, 18, 5, 30, 2, 9, 15, 23, 6, 11, 39, 35, 38, 14, 17, 28, 19, 36, 0, 7, 21, 25, 32, 10, 20, 33, 13, 37, 22]",1586,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.2017059326171875
"[24, 7, 6, 30, 5, 17, 12, 27, 33, 38, 15, 9, 26, 4, 25, 36, 31, 13, 8, 10, 18, 32, 22, 37, 19, 20, 34, 1, 21, 35, 11, 29, 0, 39, 2, 3, 28, 16, 23, 14]",1608,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.25017499923706055
"[13, 29, 23, 30, 11, 36, 9, 8, 27, 39, 31, 25, 1, 16, 12, 21, 4, 18, 2, 20, 10, 0, 17, 37, 28, 35, 15, 6, 5, 33, 24, 3, 38, 32, 34, 7, 22, 26, 19, 14]",1582,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.30222487449645996
"[39, 1, 33, 2, 32, 27, 17, 35, 20, 8, 25, 11, 6, 5, 12, 18, 36, 29, 13, 31, 7, 15, 38, 34, 37, 26, 24, 3, 30, 21, 14, 23, 4, 10, 28, 9, 19, 16, 22, 0]",1570,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.35187602043151855
"[14, 38, 35, 15, 10, 30, 31, 8, 23, 29, 17, 4, 16, 13, 24, 21, 19, 37, 12, 6, 3, 32, 2, 22, 28, 7, 20, 36, 0, 18, 1, 11, 27, 25, 9, 39, 26, 33, 34, 5]",1564,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.4040219783782959
"[10, 37, 15, 28, 35, 36, 5, 0, 7, 23, 19, 6, 1, 32, 26, 22, 31, 38, 39, 33, 27, 8, 34, 14, 13, 4, 21, 2, 17, 9, 3, 25, 20, 30, 16, 11, 18, 12, 29, 24]",1543,"[31, 22, 26, 5, 29, 28, 1, 32, 36, 14, 10, 23, 34, 2, 18, 27, 0, 15, 9, 19, 37, 16, 20, 12, 11, 35, 38, 4, 33, 25, 17, 21, 6, 3, 7, 30, 39, 13, 24, 8]",1554,0.4567909240722656
