,instance_folder,instance_id,method,time_limit,feasibility
0,j20,7,robust,60,True
1,j20,7,robust,60,True
2,j20,7,robust,60,True
3,j20,7,robust,60,True
4,j20,7,robust,60,True
5,j20,7,robust,60,True
6,j20,7,robust,60,True
7,j20,7,robust,60,True
8,j20,7,robust,60,True
9,j20,7,robust,60,True
10,j20,8,robust,60,True
11,j20,8,robust,60,True
12,j20,8,robust,60,True
13,j20,8,robust,60,True
14,j20,8,robust,60,True
15,j20,8,robust,60,True
16,j20,8,robust,60,True
17,j20,8,robust,60,True
18,j20,8,robust,60,True
19,j20,8,robust,60,True
20,j20,13,robust,60,True
21,j20,13,robust,60,True
22,j20,13,robust,60,True
23,j20,13,robust,60,True
24,j20,13,robust,60,True
25,j20,13,robust,60,True
26,j20,13,robust,60,True
27,j20,13,robust,60,True
28,j20,13,robust,60,True
29,j20,13,robust,60,True
30,j20,15,robust,60,True
31,j20,15,robust,60,True
32,j20,15,robust,60,True
33,j20,15,robust,60,True
34,j20,15,robust,60,True
35,j20,15,robust,60,True
36,j20,15,robust,60,True
37,j20,15,robust,60,True
38,j20,15,robust,60,True
39,j20,15,robust,60,True
40,j20,16,robust,60,True
41,j20,16,robust,60,True
42,j20,16,robust,60,True
43,j20,16,robust,60,True
44,j20,16,robust,60,True
45,j20,16,robust,60,True
46,j20,16,robust,60,True
47,j20,16,robust,60,True
48,j20,16,robust,60,True
49,j20,16,robust,60,True
50,j20,17,robust,60,True
51,j20,17,robust,60,True
52,j20,17,robust,60,True
53,j20,17,robust,60,True
54,j20,17,robust,60,True
55,j20,17,robust,60,True
56,j20,17,robust,60,True
57,j20,17,robust,60,True
58,j20,17,robust,60,True
59,j20,17,robust,60,True
60,j20,18,robust,60,True
61,j20,18,robust,60,True
62,j20,18,robust,60,True
63,j20,18,robust,60,True
64,j20,18,robust,60,True
65,j20,18,robust,60,True
66,j20,18,robust,60,True
67,j20,18,robust,60,True
68,j20,18,robust,60,True
69,j20,18,robust,60,True
70,j20,19,robust,60,True
71,j20,19,robust,60,True
72,j20,19,robust,60,True
73,j20,19,robust,60,True
74,j20,19,robust,60,True
75,j20,19,robust,60,True
76,j20,19,robust,60,True
77,j20,19,robust,60,True
78,j20,19,robust,60,True
79,j20,19,robust,60,True
80,j20,21,robust,60,True
81,j20,21,robust,60,True
82,j20,21,robust,60,True
83,j20,21,robust,60,True
84,j20,21,robust,60,True
85,j20,21,robust,60,True
86,j20,21,robust,60,True
87,j20,21,robust,60,True
88,j20,21,robust,60,True
89,j20,21,robust,60,True
90,j20,22,robust,60,True
91,j20,22,robust,60,True
92,j20,22,robust,60,True
93,j20,22,robust,60,True
94,j20,22,robust,60,True
95,j20,22,robust,60,True
96,j20,22,robust,60,True
97,j20,22,robust,60,True
98,j20,22,robust,60,True
99,j20,22,robust,60,True
100,j20,24,robust,60,True
101,j20,24,robust,60,True
102,j20,24,robust,60,True
103,j20,24,robust,60,True
104,j20,24,robust,60,True
105,j20,24,robust,60,True
106,j20,24,robust,60,True
107,j20,24,robust,60,True
108,j20,24,robust,60,True
109,j20,24,robust,60,True
110,j20,25,robust,60,True
111,j20,25,robust,60,True
112,j20,25,robust,60,True
113,j20,25,robust,60,True
114,j20,25,robust,60,True
115,j20,25,robust,60,True
116,j20,25,robust,60,True
117,j20,25,robust,60,True
118,j20,25,robust,60,True
119,j20,25,robust,60,True
120,j20,26,robust,60,True
121,j20,26,robust,60,True
