instance_name,method,nr_samples,test_sample_id,obj,obj_pi,rel_regret,time_limit_SAA
j30_1,proactive,10,0,inf,inf,0.0,600.0
j30_1,proactive,10,1,inf,inf,0.0,600.0
j30_1,proactive,10,2,inf,inf,0.0,600.0
j30_1,proactive,10,3,inf,inf,0.0,600.0
j30_1,proactive,10,4,inf,inf,0.0,600.0
j30_1,proactive,10,5,inf,inf,0.0,600.0
j30_1,proactive,10,6,inf,inf,0.0,600.0
j30_1,proactive,10,7,inf,inf,0.0,600.0
j30_1,proactive,10,8,inf,inf,0.0,600.0
j30_1,proactive,10,9,inf,inf,0.0,600.0
j30_1,proactive,10,10,inf,inf,0.0,600.0
j30_1,proactive,10,11,inf,inf,0.0,600.0
j30_1,proactive,10,12,inf,inf,0.0,600.0
j30_1,proactive,10,13,inf,inf,0.0,600.0
j30_1,proactive,10,14,inf,inf,0.0,600.0
j30_1,proactive,10,15,inf,inf,0.0,600.0
j30_1,proactive,10,16,inf,inf,0.0,600.0
j30_1,proactive,10,17,inf,inf,0.0,600.0
j30_1,proactive,10,18,inf,inf,0.0,600.0
j30_1,proactive,10,19,inf,inf,0.0,600.0
j30_1,proactive,10,20,inf,inf,0.0,600.0
j30_1,proactive,10,21,inf,inf,0.0,600.0
j30_1,proactive,10,22,inf,inf,0.0,600.0
j30_1,proactive,10,23,inf,inf,0.0,600.0
j30_1,proactive,10,24,inf,inf,0.0,600.0
j30_1,proactive,10,25,inf,inf,0.0,600.0
j30_1,proactive,10,26,inf,inf,0.0,600.0
j30_1,proactive,10,27,inf,inf,0.0,600.0
j30_1,proactive,10,28,inf,inf,0.0,600.0
j30_1,proactive,10,29,inf,inf,0.0,600.0
j30_1,proactive,10,30,inf,inf,0.0,600.0
j30_1,proactive,10,31,inf,inf,0.0,600.0
j30_1,proactive,10,32,inf,inf,0.0,600.0
j30_1,proactive,10,33,inf,inf,0.0,600.0
j30_1,proactive,10,34,inf,inf,0.0,600.0
j30_1,proactive,10,35,inf,inf,0.0,600.0
j30_1,proactive,10,36,inf,inf,0.0,600.0
j30_1,proactive,10,37,inf,inf,0.0,600.0
j30_1,proactive,10,38,inf,inf,0.0,600.0
j30_1,proactive,10,39,inf,inf,0.0,600.0
j30_1,proactive,10,40,inf,inf,0.0,600.0
j30_1,proactive,10,41,inf,inf,0.0,600.0
j30_1,proactive,10,42,inf,inf,0.0,600.0
j30_1,proactive,10,43,inf,inf,0.0,600.0
j30_1,proactive,10,44,inf,inf,0.0,600.0
j30_1,proactive,10,45,inf,inf,0.0,600.0
j30_1,proactive,10,46,inf,inf,0.0,600.0
j30_1,proactive,10,47,inf,inf,0.0,600.0
j30_1,proactive,10,48,inf,inf,0.0,600.0
j30_1,proactive,10,49,inf,inf,0.0,600.0
j30_2,proactive,10,0,inf,inf,0.0,600.0
j30_2,proactive,10,1,inf,inf,0.0,600.0
j30_2,proactive,10,2,inf,inf,0.0,600.0
j30_2,proactive,10,3,inf,inf,0.0,600.0
j30_2,proactive,10,4,inf,inf,0.0,600.0
j30_2,proactive,10,5,inf,102.0,100.0,600.0
j30_2,proactive,10,6,inf,inf,0.0,600.0
j30_2,proactive,10,7,inf,103.0,100.0,600.0
j30_2,proactive,10,8,inf,inf,0.0,600.0
j30_2,proactive,10,9,inf,inf,0.0,600.0
j30_2,proactive,10,10,inf,inf,0.0,600.0
j30_2,proactive,10,11,inf,inf,0.0,600.0
j30_2,proactive,10,12,inf,inf,0.0,600.0
j30_2,proactive,10,13,inf,93.0,100.0,600.0
j30_2,proactive,10,14,inf,81.0,100.0,600.0
j30_2,proactive,10,15,inf,inf,0.0,600.0
j30_2,proactive,10,16,inf,inf,0.0,600.0
j30_2,proactive,10,17,inf,81.0,100.0,600.0
j30_2,proactive,10,18,inf,inf,0.0,600.0
j30_2,proactive,10,19,inf,inf,0.0,600.0
j30_2,proactive,10,20,inf,inf,0.0,600.0
j30_2,proactive,10,21,inf,inf,0.0,600.0
j30_2,proactive,10,22,inf,inf,0.0,600.0
j30_2,proactive,10,23,inf,91.0,100.0,600.0
j30_2,proactive,10,24,inf,inf,0.0,600.0
j30_2,proactive,10,25,inf,inf,0.0,600.0
j30_2,proactive,10,26,inf,inf,0.0,600.0
j30_2,proactive,10,27,inf,82.0,100.0,600.0
j30_2,proactive,10,28,inf,86.0,100.0,600.0
j30_2,proactive,10,29,inf,inf,0.0,600.0
j30_2,proactive,10,30,inf,inf,0.0,600.0
j30_2,proactive,10,31,inf,inf,0.0,600.0
j30_2,proactive,10,32,inf,102.0,100.0,600.0
j30_2,proactive,10,33,inf,inf,0.0,600.0
j30_2,proactive,10,34,inf,inf,0.0,600.0
j30_2,proactive,10,35,inf,inf,0.0,600.0
j30_2,proactive,10,36,inf,inf,0.0,600.0
j30_2,proactive,10,37,inf,inf,0.0,600.0
j30_2,proactive,10,38,inf,inf,0.0,600.0
j30_2,proactive,10,39,inf,inf,0.0,600.0
j30_2,proactive,10,40,inf,inf,0.0,600.0
j30_2,proactive,10,41,inf,90.0,100.0,600.0
j30_2,proactive,10,42,inf,inf,0.0,600.0
j30_2,proactive,10,43,inf,inf,0.0,600.0
j30_2,proactive,10,44,inf,inf,0.0,600.0
j30_2,proactive,10,45,inf,87.0,100.0,600.0
j30_2,proactive,10,46,inf,inf,0.0,600.0
j30_2,proactive,10,47,inf,inf,0.0,600.0
j30_2,proactive,10,48,inf,inf,0.0,600.0
j30_2,proactive,10,49,inf,inf,0.0,600.0
j30_3,proactive,10,0,inf,inf,0.0,600.0
j30_3,proactive,10,1,inf,inf,0.0,600.0
j30_3,proactive,10,2,inf,inf,0.0,600.0
j30_3,proactive,10,3,inf,inf,0.0,600.0
j30_3,proactive,10,4,inf,inf,0.0,600.0
j30_3,proactive,10,5,inf,inf,0.0,600.0
j30_3,proactive,10,6,inf,inf,0.0,600.0
j30_3,proactive,10,7,inf,inf,0.0,600.0
j30_3,proactive,10,8,inf,inf,0.0,600.0
j30_3,proactive,10,9,inf,inf,0.0,600.0
j30_3,proactive,10,10,inf,inf,0.0,600.0
j30_3,proactive,10,11,inf,inf,0.0,600.0
j30_3,proactive,10,12,inf,inf,0.0,600.0
j30_3,proactive,10,13,inf,inf,0.0,600.0
j30_3,proactive,10,14,inf,inf,0.0,600.0
j30_3,proactive,10,15,inf,inf,0.0,600.0
j30_3,proactive,10,16,inf,inf,0.0,600.0
j30_3,proactive,10,17,inf,inf,0.0,600.0
j30_3,proactive,10,18,inf,inf,0.0,600.0
j30_3,proactive,10,19,inf,inf,0.0,600.0
j30_3,proactive,10,20,inf,inf,0.0,600.0
j30_3,proactive,10,21,inf,inf,0.0,600.0
j30_3,proactive,10,22,inf,inf,0.0,600.0
j30_3,proactive,10,23,inf,inf,0.0,600.0
j30_3,proactive,10,24,inf,inf,0.0,600.0
j30_3,proactive,10,25,inf,inf,0.0,600.0
j30_3,proactive,10,26,inf,inf,0.0,600.0
j30_3,proactive,10,27,inf,inf,0.0,600.0
j30_3,proactive,10,28,inf,inf,0.0,600.0
j30_3,proactive,10,29,inf,inf,0.0,600.0
j30_3,proactive,10,30,inf,inf,0.0,600.0
j30_3,proactive,10,31,inf,inf,0.0,600.0
j30_3,proactive,10,32,inf,inf,0.0,600.0
j30_3,proactive,10,33,inf,inf,0.0,600.0
j30_3,proactive,10,34,inf,inf,0.0,600.0
j30_3,proactive,10,35,inf,inf,0.0,600.0
j30_3,proactive,10,36,inf,inf,0.0,600.0
j30_3,proactive,10,37,inf,inf,0.0,600.0
j30_3,proactive,10,38,inf,inf,0.0,600.0
j30_3,proactive,10,39,inf,inf,0.0,600.0
j30_3,proactive,10,40,inf,inf,0.0,600.0
j30_3,proactive,10,41,inf,inf,0.0,600.0
j30_3,proactive,10,42,inf,inf,0.0,600.0
j30_3,proactive,10,43,inf,inf,0.0,600.0
j30_3,proactive,10,44,inf,inf,0.0,600.0
j30_3,proactive,10,45,inf,inf,0.0,600.0
j30_3,proactive,10,46,inf,inf,0.0,600.0
j30_3,proactive,10,47,inf,inf,0.0,600.0
j30_3,proactive,10,48,inf,inf,0.0,600.0
j30_3,proactive,10,49,inf,inf,0.0,600.0
j30_4,proactive,10,0,inf,93.0,100.0,
j30_4,proactive,10,1,inf,89.0,100.0,
j30_4,proactive,10,2,116.0,88.0,31.818181818181817,
j30_4,proactive,10,3,inf,91.0,100.0,
j30_4,proactive,10,4,inf,91.0,100.0,
j30_4,proactive,10,5,inf,76.0,100.0,
j30_4,proactive,10,6,inf,85.0,100.0,
j30_4,proactive,10,7,117.0,91.0,28.571428571428573,
j30_4,proactive,10,8,inf,96.0,100.0,
j30_4,proactive,10,9,inf,94.0,100.0,
j30_4,proactive,10,10,116.0,91.0,27.47252747252747,
j30_4,proactive,10,11,116.0,87.0,33.333333333333336,
j30_4,proactive,10,12,inf,87.0,100.0,
j30_4,proactive,10,13,117.0,91.0,28.571428571428573,
j30_4,proactive,10,14,116.0,86.0,34.883720930232556,
j30_4,proactive,10,15,inf,94.0,100.0,
j30_4,proactive,10,16,inf,91.0,100.0,
j30_4,proactive,10,17,inf,96.0,100.0,
j30_4,proactive,10,18,116.0,98.0,18.367346938775512,
j30_4,proactive,10,19,117.0,96.0,21.875,
j30_4,proactive,10,20,116.0,89.0,30.337078651685392,
j30_4,proactive,10,21,116.0,91.0,27.47252747252747,
j30_4,proactive,10,22,117.0,87.0,34.48275862068966,
j30_4,proactive,10,23,116.0,86.0,34.883720930232556,
j30_4,proactive,10,24,116.0,81.0,43.20987654320987,
j30_4,proactive,10,25,116.0,87.0,33.333333333333336,
j30_4,proactive,10,26,116.0,88.0,31.818181818181817,
j30_4,proactive,10,27,117.0,90.0,30.0,
j30_4,proactive,10,28,116.0,84.0,38.095238095238095,
j30_4,proactive,10,29,inf,92.0,100.0,
j30_4,proactive,10,30,inf,86.0,100.0,
j30_4,proactive,10,31,117.0,83.0,40.963855421686745,
j30_4,proactive,10,32,117.0,93.0,25.806451612903224,
j30_4,proactive,10,33,inf,89.0,100.0,
j30_4,proactive,10,34,inf,91.0,100.0,
j30_4,proactive,10,35,116.0,90.0,28.88888888888889,
j30_4,proactive,10,36,117.0,90.0,30.0,
j30_4,proactive,10,37,116.0,91.0,27.47252747252747,
j30_4,proactive,10,38,inf,95.0,100.0,
j30_4,proactive,10,39,inf,84.0,100.0,
j30_4,proactive,10,40,inf,91.0,100.0,
j30_4,proactive,10,41,116.0,78.0,48.717948717948715,
j30_4,proactive,10,42,inf,90.0,100.0,
j30_4,proactive,10,43,inf,96.0,100.0,
j30_4,proactive,10,44,inf,95.0,100.0,
j30_4,proactive,10,45,116.0,83.0,39.75903614457831,
j30_4,proactive,10,46,116.0,86.0,34.883720930232556,
j30_4,proactive,10,47,inf,88.0,100.0,
j30_4,proactive,10,48,116.0,79.0,46.835443037974684,
j30_4,proactive,10,49,inf,98.0,100.0,
j30_5,proactive,10,0,inf,inf,0.0,600.0
j30_5,proactive,10,1,inf,inf,0.0,600.0
j30_5,proactive,10,2,inf,91.0,100.0,600.0
j30_5,proactive,10,3,inf,inf,0.0,600.0
