,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,2,Harvesting tanks A,Harvesting tanks A,0,68,68,68,93
1,0,13,Fermenter_2,Fermenter_2,0,0,0,0,102
2,0,1,Fermenter_4,Fermenter_4,0,3,3,3,109
3,1,21,Harvesting tanks B,Harvesting tanks B,5,63,63,63,119
4,2,21,Harvesting tanks A,Harvesting tanks A,2,63,63,63,124
5,0,21,Fermenter_3,Fermenter_3,0,18,18,18,135
6,2,1,Harvesting tanks B,Harvesting tanks B,1,89,89,89,148
7,1,13,Buffer tanks,Buffer tanks,0,117,117,117,148
8,2,13,Microfilter,Microfilter,0,119,119,119,148
9,1,1,Filters A,Filters A,1,120,120,120,148
10,6,1,Harvesting tanks B,Harvesting tanks B,2,89,89,89,157
11,3,1,Buffer tanks,Buffer tanks,3,120,120,120,157
12,5,1,Filters A,Filters A,2,120,120,120,157
13,7,1,Microfilter,Microfilter,3,121,121,121,157
14,4,13,Harvesting tanks B,Harvesting tanks B,0,71,71,71,158
15,3,13,Filters A,Filters A,0,117,117,117,158
16,5,13,Buffer tanks,Buffer tanks,1,132,132,132,160
17,6,13,Microfilter,Microfilter,1,132,132,132,160
18,2,2,Harvesting tanks A,Harvesting tanks A,1,68,68,68,163
19,0,3,Fermenter_2,Fermenter_2,0,9,102,102,168
20,7,13,Buffer tanks,Buffer tanks,2,145,145,145,171
21,8,13,Microfilter,Microfilter,2,145,145,145,171
22,0,2,Fermenter_1,Fermenter_1,0,6,6,6,175
23,4,2,Harvesting tanks B,Harvesting tanks B,3,68,68,68,178
24,3,2,Filters A,Filters A,1,163,163,163,178
25,1,7,Filters B,Filters B,0,168,168,168,179
26,6,2,Harvesting tanks B,Harvesting tanks B,4,153,153,153,180
27,5,2,Filters A,Filters A,2,169,169,169,180
28,0,7,Fermenter_5,Fermenter_5,0,21,21,21,183
29,2,7,Harvesting tanks B,Harvesting tanks B,2,153,157,157,183
30,8,1,Microfilter,Microfilter,0,121,148,148,184
31,4,1,Buffer tanks,Buffer tanks,0,120,148,148,185
32,2,3,Harvesting tanks B,Harvesting tanks B,0,156,158,158,189
33,9,1,Buffer tanks,Buffer tanks,3,132,157,157,191
34,10,1,Microfilter,Microfilter,3,132,157,157,191
35,11,1,Buffer tanks,Buffer tanks,1,132,160,160,196
36,12,1,Microfilter,Microfilter,1,132,160,160,196
37,7,2,Buffer tanks,Buffer tanks,2,163,171,171,196
38,8,2,Microfilter,Microfilter,2,163,171,171,196
