,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,9,Harvesting tanks A,Harvesting tanks A,0,66,66,66,90
1,0,11,Fermenter_5,Fermenter_5,0,3,3,3,99
2,2,11,Harvesting tanks B,Harvesting tanks B,1,84,84,84,105
3,1,11,Filters A,Filters A,1,93,93,93,105
4,0,5,Fermenter_1,Fermenter_1,0,0,0,0,112
5,0,19,Fermenter_2,Fermenter_2,0,12,12,12,114
6,3,11,Buffer tanks,Buffer tanks,2,93,93,93,122
7,4,11,Microfilter,Microfilter,2,93,93,93,122
8,2,9,Harvesting tanks A,Harvesting tanks A,1,66,66,66,124
9,0,12,Fermenter_4,Fermenter_4,0,6,6,6,125
10,2,5,Harvesting tanks B,Harvesting tanks B,0,94,94,94,136
11,1,5,Filters A,Filters A,0,113,113,113,136
12,3,5,Buffer tanks,Buffer tanks,0,113,113,113,139
13,4,5,Microfilter,Microfilter,0,114,114,114,139
14,5,5,Buffer tanks,Buffer tanks,1,125,125,125,149
15,6,5,Microfilter,Microfilter,1,125,125,125,149
16,3,12,Harvesting tanks B,Harvesting tanks B,2,106,106,106,166
17,4,12,Harvesting tanks B,Harvesting tanks B,3,106,106,106,166
18,1,12,Filters A,Filters A,2,140,140,140,166
19,2,12,Filters A,Filters A,1,140,140,140,166
20,2,19,Microfilter,Microfilter,0,131,139,139,168
21,4,19,Harvesting tanks B,Harvesting tanks B,4,83,83,83,170
22,1,19,Buffer tanks,Buffer tanks,0,129,139,139,170
23,0,9,Fermenter_3,Fermenter_3,0,24,24,24,174
24,3,19,Filters A,Filters A,0,129,136,136,177
25,5,19,Buffer tanks,Buffer tanks,1,144,149,149,177
26,6,19,Microfilter,Microfilter,1,144,149,149,177
27,1,0,Harvesting tanks A,Harvesting tanks A,2,141,141,141,181
28,5,12,Buffer tanks,Buffer tanks,3,140,140,140,194
29,6,12,Buffer tanks,Buffer tanks,2,140,140,140,194
30,7,12,Microfilter,Microfilter,3,140,140,140,194
31,8,12,Microfilter,Microfilter,2,140,140,140,194
32,8,19,Microfilter,Microfilter,0,157,168,168,194
33,7,19,Buffer tanks,Buffer tanks,0,157,170,170,196
34,2,0,Harvesting tanks A,Harvesting tanks A,3,141,141,141,209
35,5,11,Stabilization tanks,Stabilization tanks,1,122,122,122,211
36,3,9,Microfilter,Microfilter,1,155,177,177,214
37,0,1,Fermenter_1,Fermenter_1,0,9,112,112,224
38,2,1,Harvesting tanks B,Harvesting tanks B,1,199,199,199,224
39,0,47,Fermenter_5,Fermenter_5,0,129,129,129,225
40,8,9,Harvesting tanks B,Harvesting tanks B,5,66,66,66,233
41,7,9,Filters B,Filters B,0,124,124,124,233
42,4,1,Microfilter,Microfilter,1,209,214,214,233
43,0,0,Fermenter_2,Fermenter_2,0,30,114,114,236
44,1,13,Harvesting tanks A,Harvesting tanks A,0,200,200,200,241
45,7,5,Stabilization tanks,Stabilization tanks,0,139,139,139,242
46,4,9,Buffer tanks,Buffer tanks,1,145,177,177,248
47,1,1,Filters B,Filters B,0,209,233,233,248
48,6,1,Microfilter,Microfilter,1,214,233,233,251
49,4,0,Harvesting tanks B,Harvesting tanks B,0,141,141,141,254
50,3,0,Filters A,Filters A,2,231,231,231,254
51,2,47,Harvesting tanks B,Harvesting tanks B,5,210,233,233,254
52,6,0,Harvesting tanks B,Harvesting tanks B,2,210,210,210,260
53,5,0,Filters A,Filters A,1,243,243,243,260
54,1,2,Harvesting tanks A,Harvesting tanks A,2,174,181,181,262
55,3,1,Buffer tanks,Buffer tanks,1,209,248,248,267
56,5,9,Buffer tanks,Buffer tanks,3,155,194,194,268
57,8,1,Microfilter,Microfilter,1,219,251,251,268
58,0,2,Fermenter_3,Fermenter_3,0,48,174,174,272
59,9,19,Stabilization tanks,Stabilization tanks,4,160,160,160,276
60,6,9,Microfilter,Microfilter,3,145,194,194,278
61,2,13,Harvesting tanks A,Harvesting tanks A,1,200,200,200,281
62,5,1,Buffer tanks,Buffer tanks,1,214,267,267,285
63,7,1,Buffer tanks,Buffer tanks,3,219,268,268,285
64,9,12,Stabilization tanks,Stabilization tanks,2,194,194,194,287
65,10,12,Stabilization tanks,Stabilization tanks,3,194,194,194,287
66,3,2,Harvesting tanks B,Harvesting tanks B,0,255,255,255,292
67,5,2,Harvesting tanks B,Harvesting tanks B,5,255,255,255,301
68,8,0,Microfilter,Microfilter,1,233,268,268,302
69,13,9,Stabilization tanks,Stabilization tanks,5,155,155,155,304
70,0,13,Fermenter_4,Fermenter_4,0,15,125,125,305
71,9,0,Buffer tanks,Buffer tanks,3,245,285,285,310
72,11,0,Microfilter,Microfilter,3,245,278,278,311
73,4,13,Harvesting tanks B,Harvesting tanks B,3,200,200,200,317
74,3,13,Filters A,Filters A,0,294,294,294,317
75,9,9,Buffer tanks,Buffer tanks,2,124,194,194,319
76,10,9,Microfilter,Microfilter,2,124,194,194,319
77,12,9,Microfilter,Microfilter,0,134,194,194,320
78,7,0,Buffer tanks,Buffer tanks,1,231,285,285,321
79,11,9,Buffer tanks,Buffer tanks,0,134,196,196,322
80,9,1,Stabilization tanks,Stabilization tanks,7,228,228,228,325
81,1,47,Filters A,Filters A,0,219,317,317,329
82,10,0,Buffer tanks,Buffer tanks,3,257,310,310,331
83,0,16,Fermenter_1,Fermenter_1,0,18,224,224,336
84,13,0,Microfilter,Microfilter,1,245,302,302,336
85,5,47,Stabilization tanks,Stabilization tanks,10,248,248,248,337
86,4,47,Microfilter,Microfilter,0,219,320,320,349
87,9,13,Harvesting tanks B,Harvesting tanks B,4,280,280,280,350
88,8,13,Filters A,Filters A,2,310,310,310,350
89,14,9,Stabilization tanks,Stabilization tanks,6,216,216,216,353
90,6,13,Buffer tanks,Buffer tanks,0,310,322,322,353
91,12,0,Buffer tanks,Buffer tanks,2,243,319,319,355
92,7,13,Microfilter,Microfilter,3,295,311,311,357
93,5,13,Buffer tanks,Buffer tanks,1,294,321,321,357
94,2,2,Filters A,Filters A,0,264,329,329,357
95,2,16,Harvesting tanks B,Harvesting tanks B,2,318,318,318,360
96,1,3,Harvesting tanks A,Harvesting tanks A,3,331,331,331,360
97,14,0,Stabilization tanks,Stabilization tanks,8,267,267,267,368
98,12,13,Harvesting tanks B,Harvesting tanks B,1,280,280,280,369
99,11,13,Filters A,Filters A,1,310,310,310,369
100,14,13,Microfilter,Microfilter,2,330,330,330,373
101,0,22,Fermenter_3,Fermenter_3,0,63,272,272,378
102,10,13,Buffer tanks,Buffer tanks,3,310,331,331,378
103,1,16,Filters A,Filters A,0,337,357,357,380
104,4,16,Microfilter,Microfilter,3,338,357,357,382
105,2,51,Harvesting tanks B,Harvesting tanks B,0,357,357,357,383
106,1,51,Filters B,Filters B,0,372,372,372,383
107,3,47,Buffer tanks,Buffer tanks,2,219,355,355,384
108,0,51,Fermenter_5,Fermenter_5,0,153,225,225,387
109,4,2,Filters A,Filters A,2,264,350,350,387
110,9,2,Microfilter,Microfilter,1,264,336,336,390
111,6,16,Microfilter,Microfilter,2,349,373,373,397
112,2,3,Harvesting tanks A,Harvesting tanks A,0,331,331,331,403
113,10,2,Microfilter,Microfilter,0,264,349,349,403
114,8,2,Buffer tanks,Buffer tanks,2,298,384,384,404
115,6,2,Buffer tanks,Buffer tanks,1,264,357,357,405
116,11,2,Stabilization tanks,Stabilization tanks,1,312,312,312,407
117,13,13,Buffer tanks,Buffer tanks,0,319,353,353,407
118,3,3,Harvesting tanks B,Harvesting tanks B,5,331,331,331,409
119,1,22,Filters A,Filters A,2,389,389,389,417
120,2,22,Harvesting tanks B,Harvesting tanks B,2,358,360,360,419
121,1,17,Harvesting tanks A,Harvesting tanks A,2,380,380,380,421
122,4,51,Microfilter,Microfilter,3,372,382,382,424
123,0,7,Fermenter_1,Fermenter_1,0,21,336,336,429
124,5,16,Buffer tanks,Buffer tanks,1,349,405,405,429
125,3,16,Buffer tanks,Buffer tanks,2,337,404,404,430
126,7,2,Buffer tanks,Buffer tanks,3,264,378,378,432
127,0,3,Fermenter_2,Fermenter_2,0,45,236,236,435
128,6,22,Harvesting tanks B,Harvesting tanks B,1,358,369,369,437
129,7,22,Microfilter,Microfilter,0,390,403,403,439
130,5,3,Harvesting tanks B,Harvesting tanks B,3,331,331,331,446
131,4,3,Filters A,Filters A,1,392,392,392,446
132,3,51,Buffer tanks,Buffer tanks,0,372,407,407,449
133,5,22,Filters A,Filters A,2,389,417,417,454
134,8,22,Microfilter,Microfilter,3,390,424,424,460
135,2,17,Harvesting tanks A,Harvesting tanks A,1,380,380,380,461
136,15,13,Stabilization tanks,Stabilization tanks,9,330,330,330,462
137,6,3,Buffer tanks,Buffer tanks,1,428,429,429,465
138,7,16,Stabilization tanks,Stabilization tanks,0,363,363,363,466
139,10,22,Microfilter,Microfilter,0,401,439,439,473
140,8,3,Harvesting tanks B,Harvesting tanks B,4,370,370,370,475
141,7,3,Filters A,Filters A,0,440,440,440,475
142,10,3,Microfilter,Microfilter,1,438,438,438,479
143,0,64,Fermenter_5,Fermenter_5,0,156,387,387,483
144,0,17,Fermenter_4,Fermenter_4,0,39,305,305,485
145,3,22,Buffer tanks,Buffer tanks,0,389,449,449,486
146,12,22,Microfilter,Microfilter,3,401,460,460,496
147,2,64,Harvesting tanks B,Harvesting tanks B,4,468,475,475,496
148,3,17,Filters A,Filters A,1,474,474,474,497
149,4,17,Harvesting tanks B,Harvesting tanks B,0,380,383,383,500
150,4,22,Buffer tanks,Buffer tanks,1,389,465,465,502
151,5,51,Stabilization tanks,Stabilization tanks,4,414,414,414,503
152,12,3,Microfilter,Microfilter,2,394,397,397,509
153,11,3,Buffer tanks,Buffer tanks,3,425,432,432,513
154,9,3,Buffer tanks,Buffer tanks,2,392,430,430,517
155,2,7,Harvesting tanks B,Harvesting tanks B,1,404,437,437,520
156,9,22,Buffer tanks,Buffer tanks,0,401,486,486,520
157,7,17,Microfilter,Microfilter,0,475,475,475,521
158,0,8,Fermenter_1,Fermenter_1,0,27,429,429,522
159,13,22,Stabilization tanks,Stabilization tanks,3,401,401,401,526
160,9,17,Harvesting tanks B,Harvesting tanks B,5,460,460,460,530
161,8,17,Filters A,Filters A,2,490,490,490,530
162,1,7,Filters A,Filters A,1,450,497,497,534
163,0,6,Fermenter_2,Fermenter_2,0,57,435,435,537
164,11,22,Buffer tanks,Buffer tanks,1,401,502,502,538
165,1,64,Filters A,Filters A,2,477,530,530,542
166,0,29,Fermenter_3,Fermenter_3,0,78,378,378,543
167,6,17,Buffer tanks,Buffer tanks,2,490,517,517,548
168,12,17,Harvesting tanks B,Harvesting tanks B,2,460,460,460,549
169,11,17,Filters A,Filters A,0,490,490,490,549
170,5,17,Buffer tanks,Buffer tanks,3,474,513,513,549
171,4,64,Microfilter,Microfilter,0,477,521,521,550
172,14,17,Microfilter,Microfilter,1,510,510,510,553
173,4,7,Microfilter,Microfilter,3,452,496,496,565
174,10,17,Buffer tanks,Buffer tanks,0,490,520,520,567
175,2,8,Harvesting tanks B,Harvesting tanks B,4,497,497,497,580
176,1,8,Filters A,Filters A,1,543,543,543,580
177,1,18,Harvesting tanks B,Harvesting tanks B,1,530,530,530,586
178,2,18,Harvesting tanks A,Harvesting tanks A,3,530,530,530,591
179,13,17,Buffer tanks,Buffer tanks,1,499,538,538,592
180,13,3,Stabilization tanks,Stabilization tanks,2,438,438,438,595
181,5,64,Stabilization tanks,Stabilization tanks,6,506,506,506,595
182,3,64,Buffer tanks,Buffer tanks,0,477,567,567,596
183,0,18,Fermenter_4,Fermenter_4,0,54,485,485,602
184,5,7,Stabilization tanks,Stabilization tanks,7,521,521,521,610
185,4,18,Harvesting tanks B,Harvesting tanks B,5,530,530,530,618
186,3,18,Filters A,Filters A,0,566,566,566,618
187,3,7,Buffer tanks,Buffer tanks,2,450,548,548,619
188,4,8,Microfilter,Microfilter,0,545,550,550,619
189,2,6,Microfilter,Microfilter,1,566,566,566,621
190,2,29,Harvesting tanks B,Harvesting tanks B,3,513,513,513,626
191,1,29,Filters B,Filters B,0,528,528,528,626
192,4,6,Harvesting tanks B,Harvesting tanks B,0,506,506,506,627
193,3,6,Filters A,Filters A,2,563,563,563,627
194,0,15,Fermenter_1,Fermenter_1,0,33,522,522,634
195,2,15,Harvesting tanks B,Harvesting tanks B,4,609,609,609,634
196,9,18,Harvesting tanks B,Harvesting tanks B,2,584,584,584,641
197,8,18,Filters A,Filters A,1,602,602,602,641
198,1,15,Filters B,Filters B,0,619,626,626,641
199,15,17,Stabilization tanks,Stabilization tanks,5,510,510,510,642
200,0,39,Fermenter_2,Fermenter_2,0,81,537,537,649
201,6,6,Microfilter,Microfilter,3,596,596,596,651
202,4,29,Microfilter,Microfilter,2,528,528,528,652
203,7,18,Microfilter,Microfilter,0,601,619,619,653
204,1,6,Buffer tanks,Buffer tanks,0,563,596,596,654
205,2,33,Harvesting tanks A,Harvesting tanks A,0,597,597,597,658
206,3,8,Buffer tanks,Buffer tanks,1,543,592,592,663
207,0,33,Fermenter_3,Fermenter_3,0,96,543,543,668
208,4,15,Microfilter,Microfilter,3,619,651,651,670
209,6,15,Microfilter,Microfilter,2,624,652,652,670
210,8,15,Microfilter,Microfilter,0,629,653,653,670
211,2,39,Harvesting tanks B,Harvesting tanks B,1,622,622,622,672
212,1,39,Filters A,Filters A,0,631,631,631,672
213,3,29,Buffer tanks,Buffer tanks,3,528,549,549,673
214,5,6,Buffer tanks,Buffer tanks,2,596,619,619,674
215,1,33,Harvesting tanks B,Harvesting tanks B,5,597,618,618,676
216,4,33,Harvesting tanks B,Harvesting tanks B,3,650,650,650,689
217,3,33,Filters A,Filters A,2,671,671,671,689
218,3,15,Buffer tanks,Buffer tanks,2,619,674,674,693
219,6,18,Buffer tanks,Buffer tanks,1,602,663,663,696
220,1,10,Harvesting tanks A,Harvesting tanks A,3,661,661,661,701
221,5,8,Stabilization tanks,Stabilization tanks,8,614,614,614,703
222,9,33,Harvesting tanks B,Harvesting tanks B,0,650,650,650,704
223,8,33,Filters A,Filters A,1,671,671,671,704
224,1,37,Harvesting tanks A,Harvesting tanks A,2,674,674,674,704
225,5,15,Buffer tanks,Buffer tanks,2,624,693,693,711
226,7,15,Buffer tanks,Buffer tanks,1,629,696,696,713
227,11,18,Microfilter,Microfilter,1,567,621,621,714
228,5,18,Buffer tanks,Buffer tanks,0,566,654,654,718
229,14,33,Microfilter,Microfilter,0,672,672,672,721
230,6,33,Microfilter,Microfilter,2,636,670,670,724
231,2,10,Harvesting tanks A,Harvesting tanks A,0,661,661,661,729
232,9,15,Stabilization tanks,Stabilization tanks,0,638,638,638,735
233,4,39,Microfilter,Microfilter,3,631,670,670,735
234,10,18,Buffer tanks,Buffer tanks,3,598,673,673,735
235,7,6,Stabilization tanks,Stabilization tanks,1,621,621,621,740
236,5,29,Stabilization tanks,Stabilization tanks,10,652,652,652,741
237,2,37,Harvesting tanks A,Harvesting tanks A,1,674,674,674,744
238,7,33,Buffer tanks,Buffer tanks,0,671,718,718,746
239,12,18,Stabilization tanks,Stabilization tanks,9,599,599,599,753
240,12,33,Harvesting tanks B,Harvesting tanks B,4,597,634,634,753
241,11,33,Filters A,Filters A,0,635,672,672,753
242,0,10,Fermenter_1,Fermenter_1,0,36,634,634,757
243,5,33,Buffer tanks,Buffer tanks,1,635,713,713,768
